REGIÓN;PROVINCIA;DISTRITO;CODIGO DEL RECURSO;NOMBRE DEL RECURSO;CATEGORÍA;TIPO DE CATEGORÍA;SUB TIPO CATEGORÍA;URL;LATITUD;LONGITUD;FECHA_DE_CORTE
Cajamarca;San Miguel;SAN SILVESTRE DE COCHAN;6225;Zona Arqueologica Fortaleza El Castillo;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Templos;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6225;;;20230102
Cusco;Chumbivilcas;SANTO TOMAS;6226;Festival De Chukqcho;5. ACONTECIMIENTOS PROGRAMADOS;Eventos;Festivales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6226;-72.0833;-14.4505;20230102
Cajamarca;San Marcos;ICHOCAN;6229;Fiesta De San Isidro Labrador De Ichocán;5. ACONTECIMIENTOS PROGRAMADOS;Fiestas;Fiestas religiosas-patronales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6229;;;20230102
Arequipa;Arequipa;CHIGUATA;6231;Andenerías De Chiguata;2. MANIFESTACIONES CULTURALES;Lugares Históricos;Puentes;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6231;-71.38111889362335;-16.408121539953594;20230102
Arequipa;Arequipa;SACHACA;6235;Mirador De Sachaca;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Miradores;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6235;-71.5675163269043;-16.426339910041942;20230102
Arequipa;Arequipa;AREQUIPA;6236;Puente De Fierro;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Puentes;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6236;-71.54879987239837;-16.409950915312357;20230102
Lima;Yauyos;CARANIA;6240;Pueblo De Carania;2. MANIFESTACIONES CULTURALES;Pueblos;Tradicionales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6240;-75.87032999999997;-12.345449;20230102
Cajamarca;Chota;CONCHAN;6241;Zona Arqueológica De Cuchuli;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Templos;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6241;;;20230102
Cajamarca;Cajamarca;LLACANORA;6246;Cuevas De Pumaushco;1. SITIOS NATURALES;Cavidades naturales;Grutas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6246;-78.42616499999997;-7.193833;20230102
Cajamarca;Cajamarca;LOS BAÑOS DEL INCA;6247;Fiesta De La Santisima Virgen De La Natividad O Huanchaco;5. ACONTECIMIENTOS PROGRAMADOS;Fiestas;Fiestas religiosas-patronales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6247;;;20230102
Cajamarca;Cajamarca;LLACANORA;6248;Cascadas De Llacanora;1. SITIOS NATURALES;Caídas de agua;Cataratas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6248;-78.423923;-7.185667;20230102
Cajamarca;Celendin;HUASMIN;6249;Bosque De Piedras De Huangashanga;1. SITIOS NATURALES;a. Montañas;Bosque de Piedra;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6249;-78.14540199999999;-6.865349;20230102
Lima;Yauyos;HUANTAN;6250;Pueblo De Huantan;2. MANIFESTACIONES CULTURALES;Pueblos;Tradicionales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6250;-75.81157999999999;-12.456263;20230102
Cajamarca;Contumaza;CUPISNIQUE;10770;Leyenda El Tesoro De Los Cupisnique;3. FOLCLORE;Creencias Populares;Otros;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10770;;;20230102
Cajamarca;Cajamarca;COSPAN;6252;Casa Hacienda Sunchubamba;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Casa-Hacienda;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6252;-78.54173535449212;-7.427627884353053;20230102
